Name,Description,DEPARTMENT,ALT_TELEPHONE_LINE,STREET_NAME,BUILDING_NAME,TYPE,TELEPHONE,UNIT,OPERATING_HOURS,FAX,HSE_BLK_NO,POSTAL_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_11,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kreta Ayer Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>North Canal Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Central Police Divisional (ALPHA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 535 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6236 2541</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>55</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>59282</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>3A815213E3B0B8C7</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kreta Ayer Neighbourhood Police Post (Temporarily Closed),,North Canal Road,,Central Police Divisional (ALPHA),1800 535 9999,,Temporarily Closed,6236 2541,55,59282,3A815213E3B0B8C7,20230804153016,1.28652746282071,103.847108752631
kml_12,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Jurong Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Corporation Drive</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Jurong Police Divisional (JULIET)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 265 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-08</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6266 4987</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>140</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>610140</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>D4F9259ABF216842</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Jurong Neighbourhood Police Post (Self-Help Kiosks Only),,Corporation Drive,,Jurong Police Divisional (JULIET),1800 265 9999,#01-08,24 Hrs (Automated),6266 4987,140,610140,D4F9259ABF216842,20230804153016,1.32896083412324,103.72227955557
kml_13,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Bukit Timah Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Toh Yi Drive</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Clementi Police Divisional (DELTA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 468 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-139</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6462 3782</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>591501</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4FB51D645995B58E</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Bukit Timah Neighbourhood Police Post (Self-Help Kiosks Only),,Toh Yi Drive,,Clementi Police Divisional (DELTA),1800 468 9999,#01-139,24 Hrs (Automated),6462 3782,1,591501,4FB51D645995B58E,20230804153016,1.33958155881188,103.774586327281
kml_14,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Eunos Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Bedok Reservoir Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 443 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-1620</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>1200 to 2200 hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6244 4376</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>629</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>470629</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>34B418C67F989F22</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Eunos Neighbourhood Police Post (Self-Help Kiosks Only),,Bedok Reservoir Road,,Bedok Police Division (GOLF),1800 443 9999,#01-1620,1200 to 2200 hrs,6244 4376,629,470629,34B418C67F989F22,20230804153016,1.33439906398438,103.914501165403
kml_15,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Tanjong Pagar Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Jalan Bukit Merah</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Central Police Divisional (ALPHA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 273 8999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-1114</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6278 5695</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>144</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>160144</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>395A93A1452025B3</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Tanjong Pagar Neighbourhood Police Post (Self-Help Kiosks Only),,Jalan Bukit Merah,,Central Police Divisional (ALPHA),1800 273 8999,#01-1114,24 Hrs (Automated),6278 5695,144,160144,395A93A1452025B3,20230804153016,1.2773054355759,103.829955553714
kml_16,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Commonwealth Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Commonwealth Crescent (Annex)</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Clementi Police Divisional (DELTA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 474 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-288A</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6471 5297</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>111</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>140111</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>94B40DE45BDB4B0F</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Commonwealth Neighbourhood Police Post (Temporarily Closed),,Commonwealth Crescent (Annex),,Clementi Police Divisional (DELTA),1800 474 9999,#01-288A,Temporarily Closed,6471 5297,111,140111,94B40DE45BDB4B0F,20230804153016,1.30626771900992,103.798291960301
kml_17,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>West Coast Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Clementi West Street 2</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Clementi Police Divisional (DELTA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 778 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-418</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6776 4338</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>728</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>120728</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>3617EB3566641A85</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",West Coast Neighbourhood Police Post (Self-Help Kiosks Only),,Clementi West Street 2,,Clementi Police Divisional (DELTA),1800 778 9999,#01-418,24 Hrs (Automated),6776 4338,728,120728,3617EB3566641A85,20230804153016,1.30561273180692,103.763602661856
kml_18,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Pasir Panjang Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Pasir Panjang Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Clementi Police Divisional (DELTA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 275 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6377 2525</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>109A</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>118815</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>D6845B6707253C64</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Pasir Panjang Neighbourhood Police Post (Self-Help Kiosks Only),,Pasir Panjang Road,,Clementi Police Divisional (DELTA),1800 275 9999,,24 Hrs (Automated),6377 2525,109A,118815,D6845B6707253C64,20230804153016,1.27543462844833,103.793372361949
kml_19,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Chai Chee Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Chai Chee Avenue</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 445 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-256/258</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6244 4375</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>35</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>461035</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>D811CEA33AA3F75C</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Chai Chee Neighbourhood Police Post (Self-Help Kiosks Only),,Chai Chee Avenue,,Bedok Police Division (GOLF),1800 445 9999,#01-256/258,24 Hrs (Automated),6244 4375,35,461035,D811CEA33AA3F75C,20230804153016,1.32485410098265,103.926038022347
kml_20,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Serangoon Gardens Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Serangoon Garden Way</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Ang Mo Kio Police Division (FOXTROT)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 287 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6281 5969</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>51</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>555947</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>95BE7E37A1EB56A5</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Serangoon Gardens Neighbourhood Police Post (Self-Help Kiosks Only),,Serangoon Garden Way,,Ang Mo Kio Police Division (FOXTROT),1800 287 9999,,Temporarily Closed,6281 5969,51,555947,95BE7E37A1EB56A5,20230804153016,1.36343333618574,103.86643084589
kml_21,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Joo Chiat Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Onan Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 345 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6447 4181</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>267</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>424773</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>C7369E66898B0783</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Joo Chiat Neighbourhood Police Post (Self-Help Kiosks Only),,Onan Road,,Bedok Police Division (GOLF),1800 345 9999,,24 Hrs (Automated),6447 4181,267,424773,C7369E66898B0783,20230804153016,1.30990985553944,103.901501424644
kml_22,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kampong Ubi Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Eunos Crescent</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 747 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-2687</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6745 3410</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>9</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>400009</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>7FDFAE1BFCD3B766</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kampong Ubi Neighbourhood Police Post (Self-Help Kiosks Only),,Eunos Crescent,,Bedok Police Division (GOLF),1800 747 9999,#01-2687,24 Hrs (Automated),6745 3410,9,400009,7FDFAE1BFCD3B766,20230804153016,1.32179870823757,103.902774744156
kml_23,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kolam Ayer Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Geylang Bahru</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Central Police Divisional (ALPHA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 296 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-3038</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6293 7659</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>72</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>330072</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>E9928AA36E8C2D40</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kolam Ayer Neighbourhood Police Post (Self-Help Kiosks Only),,Geylang Bahru,,Central Police Divisional (ALPHA),1800 296 9999,#01-3038,24 Hrs (Automated),6293 7659,72,330072,E9928AA36E8C2D40,20230804153016,1.32194545033804,103.871031674581
kml_24,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Bukit Batok Neighbourhood Police Centre (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Bukit Batok East Ave 4</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Jurong Police Divisional (JULIET)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 665 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6425 2661</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>21</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>659840</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>A6C4EE53326992E0</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Bukit Batok Neighbourhood Police Centre (Temporarily Closed),,Bukit Batok East Ave 4,,Jurong Police Divisional (JULIET),1800 665 9999,,Temporarily Closed,6425 2661,21,659840,A6C4EE53326992E0,20230804153016,1.34910920303511,103.758521690164
kml_25,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Whampoa Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Jalan Bahagia</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Tanglin Police Divisional (ECHO)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 250 7999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-368</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6355 4314</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>29</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>320029</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>6C8DB0D9E0C54092</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Whampoa Neighbourhood Police Post (Self-Help Kiosks Only),,Jalan Bahagia,,Tanglin Police Divisional (ECHO),1800 250 7999,#01-368,24 Hrs (Automated),6355 4314,29,320029,6C8DB0D9E0C54092,20230804153016,1.32540758459757,103.858565503026
kml_26,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Woodlands East Neighbourhood Police Centre</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Woodlands Drive 63</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Woodlands Police Divisional (LIMA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 767 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6767 3652</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>3</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>737890</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>B28A4FB32F12BB81</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20181123000717</td> </tr></table></center>",Woodlands East Neighbourhood Police Centre,,Woodlands Drive 63,,Woodlands Police Divisional (LIMA),1800 767 9999,,24 Hrs,6767 3652,3,737890,B28A4FB32F12BB81,20181123000717,1.43888613801896,103.802364769995
kml_27,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Sembawang Neighbourhood Police Centre</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Sembawang Crescent</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Woodlands Police Divisional (LIMA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 554 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6852 2499</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>4</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>757633</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>70367CA62B0E635D</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20181123000717</td> </tr></table></center>",Sembawang Neighbourhood Police Centre,,Sembawang Crescent,,Woodlands Police Divisional (LIMA),1800 554 9999,,24 Hrs,6852 2499,4,757633,70367CA62B0E635D,20181123000717,1.44527775938767,103.819646541056
kml_28,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Woodlands Police Divisional HQ</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Woodlands Street 12</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Woodlands Police Divisional (LIMA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 646 6000</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6364 7800</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>738622</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>18583C71903244E6</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20181123000717</td> </tr></table></center>",Woodlands Police Divisional HQ,,Woodlands Street 12,,Woodlands Police Divisional (LIMA),1800 646 6000,,24 Hrs,6364 7800,1,738622,18583C71903244E6,20181123000717,1.43346034522444,103.778863094221
